Employee_ID,Hours_Worked,Tasks_Completed,Efficiency_Score,Department,Tasks_Per_Hour
100,7.5,0.0,,Sales,0.0
101,7.5,0.0,0.8,Sales,0.0
102,,0.0,0.20384615384615382,Tech,
103,7.5,0.0,0.20384615384615382,Sales,0.0
104,9.0,7.0,0.20384615384615382,Support,0.7777777777777778
105,,8.0,0.8,Sales,
106,,0.0,,Support,
107,7.5,8.0,0.20384615384615382,Support,1.0666666666666667
108,7.5,5.0,0.0,Support,0.6666666666666666
109,9.0,7.0,0.20384615384615382,Tech,0.7777777777777778
100,7.5,0.0,0.8,Tech,0.0
111,9.0,7.0,0.8,Tech,0.7777777777777778
112,9.0,0.0,,Sales,0.0
113,,0.0,0.8,Support,
114,7.5,5.0,0.8,Tech,0.6666666666666666
115,9.0,0.0,0.20384615384615382,Tech,0.0
116,,6.0,,Sales,
117,,8.0,0.20384615384615382,Tech,
118,7.5,5.0,0.20384615384615382,Sales,0.6666666666666666
119,7.5,8.0,0.20384615384615382,HR,1.0666666666666667
105,,0.0,0.20384615384615382,Tech,
121,,6.0,0.20384615384615382,HR,
122,7.5,6.0,,Sales,0.8
123,7.5,5.0,0.7,Support,0.6666666666666666
124,,6.0,0.20384615384615382,Tech,
125,8.0,0.0,0.0,Sales,0.0
126,7.5,6.0,0.0,Support,0.8
127,7.5,8.0,0.8,Support,1.0666666666666667
128,,8.0,0.20384615384615382,HR,
129,,0.0,0.0,Sales,
130,7.5,8.0,0.8,Support,1.0666666666666667
131,8.0,0.0,0.7,Tech,0.0
132,8.0,8.0,,Tech,1.0
133,9.0,0.0,,HR,0.0
134,9.0,0.0,,Support,0.0
135,7.5,7.0,0.0,Sales,0.9333333333333333
136,7.5,0.0,0.7,Tech,0.0
137,7.5,5.0,0.0,Support,0.6666666666666666
138,7.5,8.0,0.20384615384615382,Support,1.0666666666666667
139,7.5,6.0,0.0,HR,0.8
